created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1
2020-07-09 15:22:44,LeicesterCity,195,219,Leicester City FC,"Sheffield, UK",0,KeysToReferee,#LeicesterCity OR #LCFC,"""I think #Vardy is a very lucky boy"" ⚽  ""What we've seen is an inconsistency of #VAR"" 📺  ""I looked at it straight a… https://t.co/iCpAtnw7kE",1281247424124727296,Keys To Referee - Mentor-Coach-Achieve,0.6115,EPL,LeicesterCity
2020-07-09 23:26:14,LeicesterCity,38,145,Leicester City FC,"Seattle, WA",0,WofNLondon,#LeicesterCity OR #LCFC,ICYMI: We have a plus sized episode this week covering 3 games as well as the #NLD. We get into VAR used in the… https://t.co/IWrBwTO5g7,1281369096789979136,West of North London Podcast,0.2732,EPL,LeicesterCity
2020-07-09 21:37:27,LeicesterCity,39,0,Leicester City FC,United Kingdom,0,_JJ07_,#LeicesterCity OR #LCFC,"#Bruno just proved #VAR was never brought into pro-football to make the game fair, #leicestercity winning premier l… https://t.co/ZmxaqrvkGh",1281341723457785859,JJ07,0.6908,EPL,LeicesterCity
2020-07-09 20:40:08,Everton,2941,1649,Everton FC,"Liverpool, England",0,UHTPodcast,#Everton OR #EFC,"Why don't we see the VAR officials any more @premierleague?  I'll tell you why, they aren't actually there. Only ex… https://t.co/a6iHOzalRs",1281327299607101440,The Unholy Trinity Everton Podcast,0.0,EPL,Everton
2020-07-10 00:35:42,Everton,179,765,Everton FC,Liverpool,0,opinionfooty01,#Everton OR #EFC,Tonights VAR Verdict...  ⚽ Bruno Fernandes vs A. Villa: Penalty  ⚽ Harry Kane vs Bournemouth: Penalty   ⚽ Callum Wi… https://t.co/Q1kbO6GA92,1281386581836914690,OpinionFootball,-0.7184,EPL,Everton
2020-07-09 23:26:14,LeicesterCity,38,145,Leicester City FC,"Seattle, WA",0,WofNLondon,#LeicesterCity OR #LCFC,ICYMI: We have a plus sized episode this week covering 3 games as well as the #NLD. We get into VAR used in the… https://t.co/IWrBwTO5g7,1281369096789979136,West of North London Podcast,0.2732,EPL,LeicesterCity
2020-07-09 21:37:27,LeicesterCity,39,0,Leicester City FC,United Kingdom,0,_JJ07_,#LeicesterCity OR #LCFC,"#Bruno just proved #VAR was never brought into pro-football to make the game fair, #leicestercity winning premier l… https://t.co/ZmxaqrvkGh",1281341723457785859,JJ07,0.6908,EPL,LeicesterCity
2020-07-10 22:25:00,LeicesterCity,73,136,Leicester City FC,LE1 3EA,0,StMargsSports,#LeicesterCity OR #LCFC,"HAVING A PARTY | Against #CPFC, #LCFC hero @vardy7 netted his 100th (and 101st) @premierleague goal.  Congrats, Var… https://t.co/9ImHfAAY30",1281716075747516416,St Margaret's Pastures Sport Centre,0.8868,EPL,LeicesterCity
2020-07-10 22:25:00,LeicesterCity,73,136,Leicester City FC,LE1 3EA,0,StMargsSports,#LeicesterCity OR #LCFC,"HAVING A PARTY | Against #CPFC, #LCFC hero @vardy7 netted his 100th (and 101st) @premierleague goal.  Congrats, Var… https://t.co/9ImHfAAY30",1281716075747516416,St Margaret's Pastures Sport Centre,0.8868,EPL,LeicesterCity
2020-07-10 19:25:37,LeicesterCity,554,862,Leicester City FC,,0,DMC790,#LeicesterCity OR #LCFC,That's that then. Dodgy VAR last game of the season. United in the CL us in Europa #Guaranteed #LCFC… https://t.co/WRIx7BM8tX,1281670933653213186,Coop,0.2263,EPL,LeicesterCity
